,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
31300,2024-03-29 00:00:00,432.2620244392197,675.0925873066979,732.8569431155557,432.2620244392197,432.2620244392197,0.0004292147000012058,0.0004292147000012058,0.0004292147000012058,0.6287593037156167,0.6287593037156167,0.6287593037156167,-0.0007447328464642966,-0.0007447328464642966,-0.0007447328464642966,0.6290748218620799,0.6290748218620799,0.6290748218620799,0.0,0.0,0.0,704.0507939483264
31301,2024-03-29 01:00:00,432.26863080761035,674.4216513152929,733.1829290591894,432.26863080761035,432.26863080761035,0.00026832502198490264,0.00026832502198490264,0.00026832502198490264,0.6283791989365773,0.6283791989365773,0.6283791989365773,-0.0009739496837146499,-0.0009739496837146499,-0.0009739496837146499,0.6290848235983072,0.6290848235983072,0.6290848235983072,0.0,0.0,0.0,703.8972467599076
31302,2024-03-29 02:00:00,432.2752371760008,676.7900824315797,732.4036663371713,432.2752371760008,432.2752371760008,-8.461641469346353e-05,-8.461641469346353e-05,-8.461641469346353e-05,0.627821512426942,0.627821512426942,0.627821512426942,-0.0011868114030123235,-0.0011868114030123235,-0.0011868114030123235,0.6290929402446478,0.6290929402446478,0.6290929402446478,0.0,0.0,0.0,703.6669303645527
31303,2024-03-29 03:00:00,432.2818435443913,675.4266121433171,730.6022656559842,432.2818435443913,432.2818435443913,-0.00042512592360266857,-0.00042512592360266857,-0.00042512592360266857,0.6272922670376568,0.6272922670376568,0.6272922670376568,-0.001381779346462308,-0.001381779346462308,-0.001381779346462308,0.6290991723077217,0.6290991723077217,0.6290991723077217,0.0,0.0,0.0,703.4489011805701
31304,2024-03-29 04:00:00,432.28844991278174,678.0519834984575,732.6183520617075,432.28844991278174,432.28844991278174,-0.0005348889183552639,-0.0005348889183552639,-0.0005348889183552639,0.6270110849230358,0.6270110849230358,0.6270110849230358,-0.0015575464922279307,-0.0015575464922279307,-0.0015575464922279307,0.6291035203336189,0.6291035203336189,0.6291035203336189,0.0,0.0,0.0,703.3380998922923
31305,2024-03-29 05:00:00,432.2950562811723,676.032907401825,731.6292591650661,432.2950562811723,432.2950562811723,-0.0003615611561495494,-0.0003615611561495494,-0.0003615611561495494,0.6270313727920667,0.6270313727920667,0.6270313727920667,-0.0017130509596014754,-0.0017130509596014754,-0.0017130509596014754,0.6291059849078178,0.6291059849078178,0.6291059849078178,0.0,0.0,0.0,703.3576188723795
31306,2024-03-29 06:00:00,432.3016626495628,674.0651593680417,730.5199617201431,432.3016626495628,432.3016626495628,-6.220900000433116e-05,-6.220900000433116e-05,-6.220900000433116e-05,0.6271968712353468,0.6271968712353468,0.6271968712353468,-0.0018474864198206504,-0.0018474864198206504,-0.0018474864198206504,0.6291065666551718,0.6291065666551718,0.6291065666551718,0.0,0.0,0.0,703.439912893207
31307,2024-03-29 07:00:00,432.30826901795325,676.1246334337022,732.5077341972027,432.30826901795325,432.30826901795325,0.0001323806742655216,0.0001323806742655216,0.0001323806742655216,0.6272773376209435,0.6272773376209435,0.6272773376209435,-0.0019603092931402173,-0.0019603092931402173,-0.0019603092931402173,0.6291052662398182,0.6291052662398182,0.6291052662398182,0.0,0.0,0.0,703.4854490390536
31308,2024-03-29 08:00:00,432.3148753863437,677.6710602831762,730.7716398372921,432.3148753863437,432.3148753863437,0.00011091654495742163,0.00011091654495742163,0.00011091654495742163,0.6271617582565218,0.6271617582565218,0.6271617582565218,-0.0020512426535799926,-0.0020512426535799926,-0.0020512426535799926,0.6291020843651444,0.6291020843651444,0.6291020843651444,0.0,0.0,0.0,703.4462327540921
31309,2024-03-29 09:00:00,432.32148175473435,674.9175697592509,730.2370518932797,432.32148175473435,432.32148175473435,-4.058927892529061e-05,-4.058927892529061e-05,-4.058927892529061e-05,0.6269361556912468,0.6269361556912468,0.6269361556912468,-0.002120276803532051,-0.002120276803532051,-0.002120276803532051,0.6290970217737042,0.6290970217737042,0.6290970217737042,0.0,0.0,0.0,703.359449548791
31310,2024-03-29 10:00:00,432.3280881231248,677.1238090319207,728.4952112924436,432.3280881231248,432.3280881231248,-0.00013909928529652084,-0.00013909928529652084,-0.00013909928529652084,0.6267833134395049,0.6267833134395049,0.6267833134395049,-0.002167666522376743,-0.002167666522376743,-0.002167666522376743,0.6290900792471782,0.6290900792471782,0.6290900792471782,0.0,0.0,0.0,703.3041196899032
31311,2024-03-29 11:00:00,432.3346944915152,674.2260918226627,730.6971739787836,432.3346944915152,432.3346944915152,-8.029362308090631e-05,-8.029362308090631e-05,-8.029362308090631e-05,0.6268070389481244,0.6268070389481244,0.6268070389481244,-0.0021939250351012407,-0.0021939250351012407,-0.0021939250351012407,0.6290812576063065,0.6290812576063065,0.6290812576063065,0.0,0.0,0.0,703.3251241802839
31312,2024-03-29 12:00:00,432.3413008599057,676.2158393544627,732.032779725769,432.3413008599057,432.3413008599057,7.573929999601544e-05,7.573929999601544e-05,7.573929999601544e-05,0.6269464822232245,0.6269464822232245,0.6269464822232245,-0.0021998147875964924,-0.0021998147875964924,-0.0021998147875964924,0.629070557710825,0.629070557710825,0.629070557710825,0.0,0.0,0.0,703.3961585538362
31313,2024-03-29 13:00:00,432.3479072282963,674.2551262664542,733.1877628973964,432.3479072282963,432.3479072282963,0.00017928147920472193,0.00017928147920472193,0.00017928147920472193,0.6270509267831825,0.6270509267831825,0.6270509267831825,-0.002186335155404077,-0.002186335155404077,-0.002186335155404077,0.6290579804593819,0.6290579804593819,0.6290579804593819,0.0,0.0,0.0,703.452063148569
31314,2024-03-29 14:00:00,432.3545135966868,676.1611524440242,730.5881285266615,432.3545135966868,432.3545135966868,0.00014114312604685233,0.00014114312604685233,0.00014114312604685233,0.6270299626647402,0.6270299626647402,0.6270299626647402,-0.0021547072508167316,-0.0021547072508167316,-0.0021547072508167316,0.6290435267895101,0.6290435267895101,0.6290435267895101,0.0,0.0,0.0,703.4537481151492
31315,2024-03-29 15:00:00,432.36111996507725,678.0564535582969,732.3713115039849,432.36111996507725,432.36111996507725,9.051923606475512e-06,9.051923606475512e-06,9.051923606475512e-06,0.6269298935717562,0.6269298935717562,0.6269298935717562,-0.002106356029351795,-0.002106356029351795,-0.002106356029351795,0.6290271976775016,0.6290271976775016,0.6290271976775016,0.0,0.0,0.0,703.4212308893484
31316,2024-03-29 16:00:00,432.3677263334677,675.2078632678422,731.1710149827481,432.3677263334677,432.3677263334677,-9.487724495520803e-05,-9.487724495520803e-05,-9.487724495520803e-05,0.6268712269633326,0.6268712269633326,0.6268712269633326,-0.0020428899301193513,-0.0020428899301193513,-0.0020428899301193513,0.6290089941384073,0.6290089941384073,0.6290089941384073,0.0,0.0,0.0,703.406613439475
31317,2024-03-29 17:00:00,432.3743327018583,674.6553756229919,729.9864106409515,432.3743327018583,432.3743327018583,-9.935534506436699e-05,-9.935534506436699e-05,-9.935534506436699e-05,0.626923483565648,0.626923483565648,0.626923483565648,-0.0019660783151819235,-0.0019660783151819235,-0.0019660783151819235,0.6289889172258943,0.6289889172258943,0.6289889172258943,0.0,0.0,0.0,703.4399555636799
31318,2024-03-29 18:00:00,432.38093907024876,675.1128525831238,730.307037482727,432.38093907024876,432.38093907024876,-3.998099999955379e-05,-3.998099999955379e-05,-3.998099999955379e-05,0.6270491600322218,0.6270491600322218,0.6270491600322218,-0.0018778270000045347,-0.0018778270000045347,-0.0018778270000045347,0.6289669680322257,0.6289669680322257,0.6289669680322257,0.0,0.0,0.0,703.5050437281915
31319,2024-03-29 19:00:00,432.3875454386392,676.2034239168454,733.9736782612151,432.3875454386392,432.3875454386392,4.115699181270617e-06,4.115699181270617e-06,4.115699181270617e-06,0.627167111196507,0.627167111196507,0.627167111196507,-0.0017801521908380304,-0.0017801521908380304,-0.0017801521908380304,0.6289431476881637,0.6289431476881637,0.6289431476881637,0.0,0.0,0.0,703.566793228739
31320,2024-03-29 20:00:00,432.3941518070297,676.4084751226708,729.8130077072822,432.3941518070297,432.3941518070297,1.3895618358510123e-05,1.3895618358510123e-05,1.3895618358510123e-05,0.6272561998174071,0.6272561998174071,0.6272561998174071,-0.0016751531638364073,-0.0016751531638364073,-0.0016751531638364073,0.6289174573628851,0.6289174573628851,0.6289174573628851,0.0,0.0,0.0,703.6160642927781
31321,2024-03-29 21:00:00,432.4007581754203,675.337611864285,730.1058078939974,432.4007581754203,432.4007581754203,5.389927892460048e-05,5.389927892460048e-05,5.389927892460048e-05,0.6273788135065649,0.6273788135065649,0.6273788135065649,-0.0015649840362774111,-0.0015649840362774111,-0.0015649840362774111,0.6288898982639177,0.6288898982639177,0.6288898982639177,0.0,0.0,0.0,703.6798327988547
31322,2024-03-29 22:00:00,432.40736454381073,674.8143625268262,730.2651989103621,432.40736454381073,432.40736454381073,0.00018476257396399985,0.00018476257396399985,0.00018476257396399985,0.6275934092201058,0.6275934092201058,0.6275934092201058,-0.0014518249909082318,-0.0014518249909082318,-0.0014518249909082318,0.6288604716370501,0.6288604716370501,0.6288604716370501,0.0,0.0,0.0,703.7833766297421
31323,2024-03-29 23:00:00,432.4139709122012,676.6131534259919,730.8067282832948,432.4139709122012,432.4139709122012,0.00035987124961893224,0.00035987124961893224,0.00035987124961893224,0.6278511966954703,0.6278511966954703,0.6278511966954703,-0.0013378533204175232,-0.0013378533204175232,-0.0013378533204175232,0.6288291787662689,0.6288291787662689,0.6288291787662689,0.0,0.0,0.0,703.905600017267
31324,2024-03-30 00:00:00,432.42057728059166,677.8118679256564,729.6363228469074,432.42057728059166,432.42057728059166,0.0004292147000025949,0.0004292147000025949,0.0004292147000025949,0.6280000210129284,0.6280000210129284,0.6280000210129284,-0.0012252146607271276,-0.0012252146607271276,-0.0012252146607271276,0.628796020973653,0.628796020973653,0.628796020973653,0.0,0.0,0.0,703.9807088992259
31325,2024-03-30 01:00:00,432.4271836489823,677.1692355157761,733.6593881485036,432.4271836489823,432.4271836489823,0.00026832502199587195,0.00026832502199587195,0.00026832502199587195,0.6279133298624292,0.6279133298624292,0.6279133298624292,-0.001115994778856898,-0.001115994778856898,-0.001115994778856898,0.6287609996192902,0.6287609996192902,0.6287609996192902,0.0,0.0,0.0,703.953976457047
31326,2024-03-30 02:00:00,432.43379001737276,676.535686437433,733.3635667401611,432.43379001737276,432.43379001737276,-8.461641469336833e-05,-8.461641469336833e-05,-8.461641469336833e-05,0.6276273074136791,0.6276273074136791,0.6276273074136791,-0.0010121922728495933,-0.0010121922728495933,-0.0010121922728495933,0.6287241161012219,0.6287241161012219,0.6287241161012219,0.0,0.0,0.0,703.8410452806687
31327,2024-03-30 03:00:00,432.4403963857632,674.1830258382134,733.3443900040953,432.4403963857632,432.4403963857632,-0.00042512592359278514,-0.00042512592359278514,-0.00042512592359278514,0.627344553402216,0.627344553402216,0.627344553402216,-0.0009156925295095738,-0.0009156925295095738,-0.0009156925295095738,0.6286853718553183,0.6286853718553183,0.6286853718553183,0.0,0.0,0.0,703.7295237294671
31328,2024-03-30 04:00:00,432.4470027541537,676.3578228685037,731.075862896204,432.4470027541537,432.4470027541537,-0.0005348889183569244,-0.0005348889183569244,-0.0005348889183569244,0.6272816361678538,0.6272816361678538,0.6272816361678538,-0.0008282432689875406,-0.0008282432689875406,-0.0008282432689875406,0.6286447683551983,0.6286447683551983,0.6286447683551983,0.0,0.0,0.0,703.7130661976637
31329,2024-03-30 05:00:00,432.45360912254426,675.873668618109,730.6322328017814,432.45360912254426,432.45360912254426,-0.00036156115614259467,-0.00036156115614259467,-0.00036156115614259467,0.6274893139718302,0.6274893139718302,0.6274893139718302,-0.000751431984186681,-0.000751431984186681,-0.000751431984186681,0.6286023071121594,0.6286023071121594,0.6286023071121594,0.0,0.0,0.0,703.8136276354915
31330,2024-03-30 06:00:00,432.46021549093473,675.8734226848663,734.0347536632765,432.46021549093473,432.46021549093473,-6.22089999975567e-05,-6.22089999975567e-05,-6.22089999975567e-05,0.627809115116261,0.627809115116261,0.627809115116261,-0.0006866655587927303,-0.0006866655587927303,-0.0006866655587927303,0.6285579896750513,0.6285579896750513,0.6285579896750513,0.0,0.0,0.0,703.962680701286
31331,2024-03-30 07:00:00,432.4668218593252,674.3011289382912,732.4323236250342,432.4668218593252,432.4668218593252,0.00013238067426207104,0.00013238067426207104,0.00013238067426207104,0.6280090459851627,0.6280090459851627,0.6280090459851627,-0.0006351523193309919,-0.0006351523193309919,-0.0006351523193309919,0.6285118176302316,0.6285118176302316,0.6285118176302316,0.0,0.0,0.0,704.0598980754354
31332,2024-03-30 08:00:00,432.47342822771566,674.5611195572199,733.0244618373404,432.47342822771566,432.47342822771566,0.00011091654495425878,0.00011091654495425878,0.00011091654495425878,0.6279768224012067,0.6279768224012067,0.6279768224012067,-0.0005978867451722067,-0.0005978867451722067,-0.0005978867451722067,0.6284637926014246,0.6284637926014246,0.6284637926014246,0.0,0.0,0.0,704.0567174591129
31333,2024-03-30 09:00:00,432.4800345961063,675.2131869185124,732.1272045560049,432.4800345961063,432.4800345961063,-4.058927892053039e-05,-4.058927892053039e-05,-4.058927892053039e-05,0.6277976899441896,0.6277976899441896,0.6277976899441896,-0.0005756370265029218,-0.0005756370265029218,-0.0005756370265029218,0.6284139162496131,0.6284139162496131,0.6284139162496131,0.0,0.0,0.0,703.990001262525
31334,2024-03-30 10:00:00,432.4866409644967,675.7212401670738,732.6890748619969,432.4866409644967,432.4866409644967,-0.00013909928529559526,-0.00013909928529559526,-0.00013909928529559526,0.6276541553643018,0.6276541553643018,0.6276541553643018,-0.0005689356234326918,-0.0005689356234326918,-0.0005689356234326918,0.6283621902730302,0.6283621902730302,0.6283621902730302,0.0,0.0,0.0,703.9386783054119
